




Analysis Type:	PANTHER Overrepresentation Test (Released 20220712)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	3537
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (152)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
gluconeogenesis (GO:0006094)	9	4	.10	+	40.41	3.15E-02
hexose biosynthetic process (GO:0019319)	9	4	.10	+	40.41	3.15E-02
ATP generation from ADP (GO:0006757)	25	9	.27	+	32.73	2.47E-07
glycolytic process (GO:0006096)	25	9	.27	+	32.73	2.47E-07
nucleoside diphosphate phosphorylation (GO:0006165)	30	10	.33	+	30.31	3.90E-08
ADP metabolic process (GO:0046031)	27	9	.30	+	30.31	4.36E-07
purine ribonucleoside diphosphate metabolic process (GO:0009179)	27	9	.30	+	30.31	4.36E-07
purine nucleoside diphosphate metabolic process (GO:0009135)	27	9	.30	+	30.31	4.36E-07
nucleotide phosphorylation (GO:0046939)	31	10	.34	+	29.33	5.12E-08
ribonucleoside diphosphate metabolic process (GO:0009185)	29	9	.32	+	28.22	7.41E-07
nucleoside diphosphate metabolic process (GO:0009132)	36	10	.40	+	25.26	1.78E-07
glucose metabolic process (GO:0006006)	30	8	.33	+	24.25	2.14E-05
pyruvate metabolic process (GO:0006090)	39	10	.43	+	23.31	3.48E-07
purine ribonucleoside triphosphate metabolic process (GO:0009205)	59	14	.65	+	21.58	1.33E-10
ATP metabolic process (GO:0046034)	55	13	.60	+	21.49	1.18E-09
purine nucleoside triphosphate metabolic process (GO:0009144)	60	14	.66	+	21.22	1.63E-10
ribonucleoside triphosphate metabolic process (GO:0009199)	62	14	.68	+	20.53	2.41E-10
nucleoside triphosphate metabolic process (GO:0009141)	67	14	.74	+	19.00	6.11E-10
hexose metabolic process (GO:0019318)	49	9	.54	+	16.70	4.02E-05
carbohydrate catabolic process (GO:0016052)	59	10	.65	+	15.41	1.20E-05
striated muscle cell development (GO:0055002)	47	7	.52	+	13.54	6.41E-03
myofibril assembly (GO:0030239)	47	7	.52	+	13.54	6.41E-03
glucose homeostasis (GO:0042593)	48	7	.53	+	13.26	7.27E-03
monosaccharide metabolic process (GO:0005996)	62	9	.68	+	13.20	2.49E-04
carbohydrate homeostasis (GO:0033500)	57	7	.63	+	11.17	2.05E-02
muscle cell development (GO:0055001)	61	7	.67	+	10.43	3.09E-02
