




Analysis Type:	PANTHER Overrepresentation Test (Released 20220712)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	9290
GO biological process complete	Homo sapiens - REFLIST (20589)	Client Text Box Input (1364)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (P-value)
semaphorin-plexin signaling pathway involved in axon guidance (GO:1902287)	14	9	.93	+	9.70	4.60E-02
semaphorin-plexin signaling pathway involved in neuron projection guidance (GO:1902285)	16	10	1.06	+	9.43	1.63E-02
negative regulation of organic acid transport (GO:0032891)	23	11	1.52	+	7.22	3.60E-02
potassium ion import across plasma membrane (GO:1990573)	44	20	2.91	+	6.86	8.39E-06
inorganic ion import across plasma membrane (GO:0099587)	99	38	6.56	+	5.79	2.00E-11
inorganic cation import across plasma membrane (GO:0098659)	99	38	6.56	+	5.79	2.00E-11
cellular response to acetylcholine (GO:1905145)	35	13	2.32	+	5.61	4.50E-02
response to acetylcholine (GO:1905144)	38	14	2.52	+	5.56	2.11E-02
calcium ion transmembrane import into cytosol (GO:0097553)	89	32	5.90	+	5.43	1.35E-08
glutamate receptor signaling pathway (GO:0007215)	46	16	3.05	+	5.25	7.53E-03
potassium ion transmembrane transport (GO:0071805)	164	53	10.86	+	4.88	2.93E-14
regulation of postsynaptic membrane potential (GO:0060078)	109	34	7.22	+	4.71	7.15E-08
membrane depolarization (GO:0051899)	55	17	3.64	+	4.67	1.34E-02
potassium ion transport (GO:0006813)	175	54	11.59	+	4.66	7.57E-14
sodium ion transmembrane transport (GO:0035725)	131	40	8.68	+	4.61	1.83E-09
import across plasma membrane (GO:0098739)	155	47	10.27	+	4.58	1.78E-11
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	76	23	5.03	+	4.57	2.71E-04
chemical synaptic transmission, postsynaptic (GO:0099565)	94	28	6.23	+	4.50	1.18E-05
regulation of neurotransmitter receptor activity (GO:0099601)	64	19	4.24	+	4.48	5.45E-03
regulation of neuronal synaptic plasticity (GO:0048168)	58	17	3.84	+	4.42	2.45E-02
excitatory postsynaptic potential (GO:0060079)	90	26	5.96	+	4.36	7.74E-05
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	101	29	6.69	+	4.33	1.22E-05
import into cell (GO:0098657)	192	55	12.72	+	4.32	5.78E-13
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	19	4.44	+	4.28	9.74E-03
cellular response to dopamine (GO:1903351)	82	23	5.43	+	4.23	8.70E-04
response to dopamine (GO:1903350)	83	23	5.50	+	4.18	1.05E-03
cellular response to catecholamine stimulus (GO:0071870)	97	26	6.43	+	4.05	2.81E-04
