




Analysis Type:	PANTHER Overrepresentation Test (Released 20220712)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	9356
GO biological process complete	Mus musculus - REFLIST (21997)	upload_1 (353)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
G protein-coupled glutamate receptor signaling pathway (GO:0007216)	15	6	.24	+	24.93	6.18E-03
membrane depolarization during action potential (GO:0086010)	25	10	.40	+	24.93	1.03E-06
calcium ion import (GO:0070509)	25	8	.40	+	19.94	3.29E-04
membrane depolarization (GO:0051899)	53	14	.85	+	16.46	2.00E-08
neuronal action potential (GO:0019228)	44	10	.71	+	14.16	1.03E-04
cell communication involved in cardiac conduction (GO:0086065)	32	7	.51	+	13.63	2.15E-02
regulation of heart rate by cardiac conduction (GO:0086091)	39	8	.63	+	12.78	6.15E-03
response to cocaine (GO:0042220)	44	9	.71	+	12.75	1.24E-03
glutamate receptor signaling pathway (GO:0007215)	40	8	.64	+	12.46	7.28E-03
transmission of nerve impulse (GO:0019226)	78	15	1.25	+	11.98	1.69E-07
cardiac conduction (GO:0061337)	56	10	.90	+	11.13	7.66E-04
regulation of actin filament-based movement (GO:1903115)	46	8	.74	+	10.84	1.85E-02
multicellular organismal signaling (GO:0035637)	129	22	2.07	+	10.63	2.75E-11
inorganic ion import across plasma membrane (GO:0099587)	94	16	1.51	+	10.61	1.82E-07
inorganic cation import across plasma membrane (GO:0098659)	94	16	1.51	+	10.61	1.82E-07
regulation of striated muscle contraction (GO:0006942)	87	14	1.40	+	10.03	6.46E-06
response to alkaloid (GO:0043279)	82	12	1.32	+	9.12	2.80E-04
action potential (GO:0001508)	96	14	1.54	+	9.09	2.03E-05
regulation of cardiac muscle contraction (GO:0055117)	71	10	1.14	+	8.78	5.53E-03
calcium ion transmembrane import into cytosol (GO:0097553)	87	12	1.40	+	8.60	5.05E-04
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	67	9	1.08	+	8.37	2.90E-02
regulation of heart rate (GO:0002027)	113	15	1.81	+	8.27	1.74E-05
regulation of synaptic transmission, glutamatergic (GO:0051966)	85	11	1.36	+	8.06	3.25E-03
sodium ion transmembrane transport (GO:0035725)	96	12	1.54	+	7.79	1.34E-03
import across plasma membrane (GO:0098739)	149	17	2.39	+	7.11	1.19E-05
potassium ion transmembrane transport (GO:0071805)	146	15	2.34	+	6.40	4.06E-04
regulation of muscle contraction (GO:0006937)	166	17	2.66	+	6.38	5.31E-05
potassium ion transport (GO:0006813)	170	17	2.73	+	6.23	7.36E-05
calcium ion transmembrane transport (GO:0070588)	162	16	2.60	+	6.15	2.39E-04
regulation of heart contraction (GO:0008016)	195	19	3.13	+	6.07	1.43E-05
import into cell (GO:0098657)	186	18	2.98	+	6.03	4.28E-05
adult behavior (GO:0030534)	186	18	2.98	+	6.03	4.28E-05
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	213	20	3.42	+	5.85	9.53E-06
regulation of cation channel activity (GO:2001257)	195	18	3.13	+	5.75	8.46E-05
calcium ion transport (GO:0006816)	235	21	3.77	+	5.57	8.28E-06
inorganic cation transmembrane transport (GO:0098662)	460	41	7.38	+	5.55	5.56E-14
inorganic ion transmembrane transport (GO:0098660)	516	45	8.28	+	5.43	2.58E-15
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	138	12	2.21	+	5.42	4.58E-02
positive regulation of calcium ion transport (GO:0051928)	150	13	2.41	+	5.40	1.91E-02
positive regulation of cytosolic calcium ion concentration (GO:0007204)	231	20	3.71	+	5.40	3.47E-05
muscle contraction (GO:0006936)	197	17	3.16	+	5.38	5.46E-04
cation transmembrane transport (GO:0098655)	504	41	8.09	+	5.07	1.09E-12
regulation of insulin secretion (GO:0050796)	188	15	3.02	+	4.97	8.34E-03
ion transmembrane transport (GO:0034220)	640	51	10.27	+	4.97	3.22E-16
sodium ion transport (GO:0006814)	176	14	2.82	+	4.96	1.99E-02
locomotory behavior (GO:0007626)	253	20	4.06	+	4.93	1.45E-04
axon guidance (GO:0007411)	242	19	3.88	+	4.89	3.69E-04
regulation of calcium ion transport (GO:0051924)	294	23	4.72	+	4.87	1.43E-05
neuromuscular process (GO:0050905)	179	14	2.87	+	4.87	2.40E-02
muscle cell development (GO:0055001)	179	14	2.87	+	4.87	2.40E-02
neuron projection guidance (GO:0097485)	243	19	3.90	+	4.87	3.92E-04
regulation of muscle system process (GO:0090257)	257	20	4.12	+	4.85	1.85E-04
regulation of membrane potential (GO:0042391)	467	36	7.49	+	4.80	4.08E-10
vascular process in circulatory system (GO:0003018)	234	18	3.76	+	4.79	1.12E-03
regulation of blood circulation (GO:1903522)	264	20	4.24	+	4.72	2.81E-04
metal ion transport (GO:0030001)	608	46	9.76	+	4.71	1.74E-13
