




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	3537
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (394)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
heat shock-mediated polytene chromosome puffing (GO:0035080)	9	6	.26	+	23.39	6.25E-03
polytene chromosome puffing (GO:0035079)	10	6	.29	+	21.05	9.77E-03
ATP generation from ADP (GO:0006757)	25	10	.71	+	14.03	8.35E-05
glycolytic process (GO:0006096)	25	10	.71	+	14.03	8.35E-05
ADP metabolic process (GO:0046031)	27	10	.77	+	12.99	1.51E-04
purine ribonucleoside diphosphate metabolic process (GO:0009179)	27	10	.77	+	12.99	1.51E-04
purine nucleoside diphosphate metabolic process (GO:0009135)	27	10	.77	+	12.99	1.51E-04
nucleoside diphosphate phosphorylation (GO:0006165)	30	11	.86	+	12.86	3.42E-05
nucleotide phosphorylation (GO:0046939)	31	11	.88	+	12.45	4.51E-05
ribonucleoside diphosphate metabolic process (GO:0009185)	29	10	.83	+	12.10	2.62E-04
cytoplasmic translation (GO:0002181)	118	40	3.36	+	11.89	6.46E-24
pyruvate metabolic process (GO:0006090)	39	12	1.11	+	10.79	3.68E-05
nucleoside diphosphate metabolic process (GO:0009132)	36	11	1.03	+	10.72	1.62E-04
glucose metabolic process (GO:0006006)	30	9	.86	+	10.52	3.16E-03
ATP metabolic process (GO:0046034)	55	16	1.57	+	10.20	2.52E-07
purine ribonucleoside triphosphate metabolic process (GO:0009205)	59	17	1.68	+	10.11	7.23E-08
purine nucleoside triphosphate metabolic process (GO:0009144)	60	17	1.71	+	9.94	9.05E-08
ribonucleoside triphosphate metabolic process (GO:0009199)	62	17	1.77	+	9.62	1.40E-07
