Gene,adatcodoncount,adatcodonfreq,proteinlennucleotides,ADAT_transformed_ordered_pvalues,ADAT_pvalues_raw,chisquareadatenrichedstatus,expected_adat_codons,observed_adat_codons,protein_length_AA,feature
CCDS3.1,126,0.168,2250,-0.9765643682655665,0.023435631734433554,nonsignificant,103,126,750,gene
CCDS4.1,144,0.23529411764705882,1836,-0.9999995025504049,4.974495951054897e-07,enriched,95,144,612,gene
CCDS5.1,62,0.27927927927927926,666,-0.9989606369008664,0.001039363099133526,enriched,41,62,222,gene
CCDS6.1,24,0.14457831325301204,498,-0.33018464240058343,0.6698153575994166,nonsignificant,22,24,166,gene
CCDS8.1,84,0.2074074074074074,1215,-0.999651424825787,0.00034857517421305355,enriched,57,84,405,gene
CCDS9.1,39,0.15234375,768,-0.5010377013962389,0.49896229860376107,nonsignificant,35,39,256,gene
CCDS10.1,43,0.17768595041322313,726,-0.9688587894042033,0.031141210595796717,nonsignificant,31,43,242,gene
CCDS11.1,70,0.2517985611510791,834,-0.9999113214170041,8.86785829958957e-05,enriched,44,70,278,gene
CCDS13.1,81,0.24545454545454545,990,-0.9999421900544258,5.7809945574285174e-05,enriched,52,81,330,gene
CCDS14.1,46,0.17692307692307693,780,-0.6572182888520912,0.34278171114790873,nonsignificant,40,46,260,gene
CCDS15.1,49,0.17753623188405798,828,-0.7884775705892746,0.21152242941072538,nonsignificant,41,49,276,gene
CCDS16.1,35,0.16826923076923078,624,-0.5275023859993115,0.47249761400068846,nonsignificant,31,35,208,gene
CCDS20.1,72,0.23684210526315788,912,-0.998137153702018,0.001862846297981894,enriched,50,72,304,gene
CCDS21.1,129,0.2146422628951747,1803,-0.9999997900238622,2.0997613781762938e-07,enriched,82,129,601,gene
CCDS22.1,153,0.22801788375558868,2013,-0.9999984512880424,1.5487119576000893e-06,enriched,104,153,671,gene
CCDS24.1,100,0.22573363431151242,1329,-0.9999858303471931,1.4169652806863231e-05,enriched,65,100,443,gene
CCDS25.1,42,0.21,600,-0.9715402630836893,0.028459736916310638,nonsignificant,30,42,200,gene
CCDS26.1,27,0.18,450,-0.7135779772221442,0.2864220227778557,nonsignificant,22,27,150,gene
CCDS27.1,108,0.242152466367713,1338,-0.9982548813004711,0.0017451186995289028,enriched,80,108,446,gene
CCDS30.1,137,0.2110939907550077,1947,-0.9999907975292819,9.202470718068688e-06,enriched,94,137,649,gene
CCDS31.1,131,0.2062992125984252,1905,-0.9999521794376383,4.782056236171758e-05,enriched,92,131,635,gene
CCDS32.1,28,0.14358974358974358,585,-0.7028534696515326,0.2971465303484674,nonsignificant,23,28,195,gene
CCDS34.1,72,0.21114369501466276,1023,-0.998137153702018,0.001862846297981894,enriched,50,72,341,gene
CCDS35.1,44,0.20952380952380953,630,-0.817577560548268,0.18242243945173198,nonsignificant,36,44,210,gene
CCDS36.1,126,0.2781456953642384,1359,-0.9999999985047617,1.4952382971995519e-09,enriched,74,126,453,gene
CCDS37.1,110,0.18549747048903878,1779,-0.9998305607978063,0.0001694392021937066,enriched,77,110,593,gene
CCDS39.1,166,0.22770919067215364,2187,-0.9999988854072871,1.1145927129140999e-06,enriched,114,166,729,gene
CCDS40.1,79,0.15863453815261044,1494,-0.9175221125267903,0.08247788747320971,nonsignificant,65,79,498,gene
CCDS41.1,75,0.21613832853025935,1041,-0.9957332751778238,0.004266724822176128,nonsignificant,54,75,347,gene
CCDS45.1,86,0.2275132275132275,1134,-0.9999866719353411,1.3328064658967301e-05,enriched,54,86,378,gene
CCDS47.1,48,0.17582417582417584,819,-0.7257011726041275,0.2742988273958725,nonsignificant,41,48,273,gene
CCDS48.1,81,0.175704989154013,1383,-0.9128029355097886,0.08719706449021135,nonsignificant,67,81,461,gene
CCDS49.1,161,0.25274725274725274,1911,-0.9999999999872509,1.2749174648388292e-11,enriched,95,161,637,gene
CCDS50.1,124,0.1887366818873668,1971,-0.999987250325079,1.2749674921097076e-05,enriched,84,124,657,gene
CCDS51.1,106,0.1815068493150685,1752,-0.9449911663707341,0.055008833629265896,nonsignificant,88,106,584,gene
CCDS52.1,61,0.17994100294985252,1017,-0.9829273389062115,0.017072661093788417,nonsignificant,45,61,339,gene
CCDS53.1,26,0.10655737704918032,732,0.8718098256548931,0.12819017434510696,nonsignificant,35,26,244,gene
CCDS54.1,112,0.27184466019417475,1236,-0.9999900109484131,9.98905158689702e-06,enriched,74,112,412,gene
CCDS55.1,82,0.22282608695652173,1104,-0.9998612114965212,0.00013878850347882944,enriched,54,82,368,gene
CCDS56.1,80,0.22598870056497175,1062,-0.9998967825585049,0.00010321744149513965,enriched,52,80,354,gene
CCDS57.1,367,0.18772378516624041,5865,-1.0,3.055916092334096e-17,enriched,237,367,1955,gene
CCDS58.1,13,0.10077519379844961,387,0.21073197386571874,0.7892680261342813,nonsignificant,14,13,129,gene
CCDS61.1,41,0.14385964912280702,855,0.12262944393585662,0.8773705560641434,nonsignificant,42,41,285,gene
CCDS64.1,184,0.3016393442622951,1830,-0.9999999999999996,4.692285537606336e-16,enriched,102,184,610,gene
CCDS65.1,89,0.2335958005249344,1143,-0.9999774985367063,2.2501463293714722e-05,enriched,57,89,381,gene
CCDS66.1,84,0.23931623931623933,1053,-0.9999961796579403,3.820342059747449e-06,enriched,51,84,351,gene
CCDS67.1,78,0.23636363636363636,990,-0.999965699437766,3.430056223401301e-05,enriched,49,78,330,gene
CCDS70.1,179,0.20935672514619882,2565,-0.9997732822864641,0.0002267177135358961,enriched,136,179,855,gene
CCDS71.1,87,0.20813397129186603,1254,-0.9991282872607316,0.0008717127392684199,enriched,61,87,418,gene
CCDS72.1,87,0.20374707259953162,1281,-0.993642784917412,0.006357215082587968,nonsignificant,65,87,427,gene
CCDS73.1,77,0.2020997375328084,1143,-0.9969876945492545,0.00301230545074549,enriched,55,77,381,gene
CCDS74.1,77,0.2064343163538874,1119,-0.9949877128545114,0.0050122871454886765,nonsignificant,56,77,373,gene
CCDS75.1,47,0.2,705,-0.8998217057737321,0.10017829422626791,nonsignificant,37,47,235,gene
CCDS79.1,202,0.2005958291956306,3021,-0.9999909526680929,9.047331907067938e-06,enriched,148,202,1007,gene
CCDS80.1,110,0.15647226173541964,2109,-0.1526103403132857,0.8473896596867143,nonsignificant,108,110,703,gene
CCDS81.1,166,0.19714964370546317,2526,-0.999634033908522,0.00036596609147799197,enriched,126,166,842,gene
CCDS82.1,110,0.1870748299319728,1764,-0.9863314807611262,0.013668519238873786,nonsignificant,87,110,588,gene
CCDS84.1,117,0.16981132075471697,2067,-0.9991706712040918,0.0008293287959082978,enriched,86,117,689,gene
CCDS85.1,58,0.19269102990033224,903,-0.9864453339351844,0.013554666064815552,nonsignificant,42,58,301,gene
CCDS86.1,28,0.1590909090909091,528,-0.7028534696515326,0.2971465303484674,nonsignificant,23,28,176,gene
CCDS87.1,89,0.15892857142857142,1680,-0.6856953395261489,0.3143046604738511,nonsignificant,80,89,560,gene
CCDS88.1,11,0.10891089108910891,303,0.7887004526662931,0.21129954733370696,nonsignificant,16,11,101,gene
CCDS89.1,168,0.13976705490848584,3606,0.8352942003100567,0.16470579968994326,nonsignificant,187,168,1202,gene
CCDS90.1,13,0.09285714285714286,420,0.8824751319033605,0.11752486809663953,nonsignificant,20,13,140,gene
CCDS91.1,14,0.112,375,0.6542214138488399,0.3457785861511601,nonsignificant,18,14,125,gene
CCDS92.1,25,0.09765625,768,0.8362656456754118,0.1637343543245882,nonsignificant,33,25,256,gene
CCDS93.1,16,0.08421052631578947,570,0.9894128626659431,0.010587137334056926,nonsignificant,30,16,190,gene
CCDS94.1,51,0.1101511879049676,1389,0.9899732446828271,0.010026755317172913,nonsignificant,73,51,463,gene
CCDS95.1,322,0.20548819400127633,4701,-0.9999973856756038,2.614324396163786e-06,enriched,248,322,1567,gene
CCDS97.1,83,0.19080459770114944,1305,-0.9882566176988274,0.011743382301172606,nonsignificant,63,83,435,gene
CCDS99.1,114,0.22709163346613545,1506,-0.9993327456057832,0.0006672543942168193,enriched,83,114,502,gene
CCDS101.1,161,0.2032828282828283,2376,-0.999996344486732,3.655513267962821e-06,enriched,112,161,792,gene
CCDS102.1,51,0.18613138686131386,822,-0.9786414595661653,0.021358540433834634,nonsignificant,37,51,274,gene
CCDS103.1,33,0.10248447204968944,966,0.9882813144002314,0.011718685599768625,nonsignificant,51,33,322,gene
