Gene,adatcodoncount,adatcodonfreq,proteinlennucleotides,ADAT_transformed_ordered_pvalues,ADAT_pvalues_raw,ADAT_pvalues_corrected,chisquareadatenrichedstatus,expected_adat_codons,observed_adat_codons,protein_length_AA,feature
CCDS3.1,126,0.168,2250,-0.9690159499015435,0.03098405009845654,991.4276350504124,nonsignificant,104,126,750,gene
CCDS4.1,144,0.23529411764705882,1836,-0.9999990366429914,9.63357008643095e-07,0.030825497562561754,enriched,96,144,612,gene
CCDS5.1,62,0.27927927927927926,666,-0.9979717688515479,0.0020282311484520824,64.89934028816972,nonsignificant,42,62,222,gene
CCDS6.1,24,0.14457831325301204,498,-0.16517267081476084,0.8348273291852392,26712.804879269283,nonsignificant,23,24,166,gene
CCDS8.1,84,0.2074074074074074,1215,-0.999651424825787,0.00034857517421305355,11.153708424469288,nonsignificant,57,84,405,gene
CCDS9.1,39,0.15234375,768,-0.5010377013962389,0.49896229860376107,15965.795630723147,nonsignificant,35,39,256,gene
CCDS10.1,43,0.17768595041322313,726,-0.9688587894042033,0.031141210595796717,996.4564566443033,nonsignificant,31,43,242,gene
CCDS11.1,70,0.2517985611510791,834,-0.9999113214170041,8.86785829958957e-05,2.8375372987026704,nonsignificant,44,70,278,gene
CCDS12.1,62,0.17765042979942694,1047,-0.9816792645780588,0.018320735421941188,586.2268920312741,nonsignificant,46,62,349,gene
CCDS13.1,81,0.24545454545454545,990,-0.9998799851409848,0.00012001485901520004,3.840235458768371,nonsignificant,53,81,330,gene
CCDS14.1,46,0.17692307692307693,780,-0.6572182888520912,0.34278171114790873,10968.329193310783,nonsignificant,40,46,260,gene
CCDS15.1,49,0.17753623188405798,828,-0.7199127891885057,0.28008721081149435,8962.230571546195,nonsignificant,42,49,276,gene
CCDS16.1,35,0.16826923076923078,624,-0.5275023859993115,0.47249761400068846,15118.978652794029,nonsignificant,31,35,208,gene
CCDS20.1,72,0.23684210526315788,912,-0.998137153702018,0.001862846297981894,59.607355842824646,nonsignificant,50,72,304,gene
CCDS21.1,129,0.2146422628951747,1803,-0.9999997900238622,2.0997613781762938e-07,0.006718816457888505,enriched,82,129,601,gene
CCDS22.1,153,0.22801788375558868,2013,-0.9999971910959563,2.8089040436829e-06,0.08987931158976543,nonsignificant,105,153,671,gene
CCDS24.1,100,0.22573363431151242,1329,-0.9999714972828476,2.8502717152389136e-05,0.9120299434421476,nonsignificant,66,100,443,gene
CCDS25.1,42,0.21,600,-0.9715402630836893,0.028459736916310638,910.6546618481078,nonsignificant,30,42,200,gene
CCDS26.1,27,0.18,450,-0.5957515052605288,0.4042484947394712,12935.1433346736,nonsignificant,23,27,150,gene
CCDS27.1,108,0.242152466367713,1338,-0.9973002039367398,0.0026997960632601883,86.3880744321995,nonsignificant,81,108,446,gene
CCDS30.1,137,0.2110939907550077,1947,-0.9999907975292819,9.202470718068688e-06,0.29446065803676186,nonsignificant,94,137,649,gene
CCDS31.1,131,0.2062992125984252,1905,-0.9999186597192402,8.134028075983554e-05,2.6027263037532173,nonsignificant,93,131,635,gene
