initial_alias,converted_alias,name,description,namespace,uniqueccds,unique_names
CCDS225.1,ENSG00000070886,EPHA8,EPH receptor A8 [Source:HGNC Symbol;Acc:HGNC:3391],CCDS,CCDS225.1,EPHA8
CCDS380.1,ENSG00000121904,CSMD2,CUB and Sushi multiple domains 2 [Source:HGNC Symbol;Acc:HGNC:19290],CCDS,CCDS380.1,CSMD2
CCDS1407.1,ENSG00000081248,CACNA1S,calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:HGNC:1397],CCDS,CCDS1407.1,CACNA1S
CCDS1715.1,ENSG00000138031,ADCY3,adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234],CCDS,CCDS1715.1,ADCY3
CCDS1725.1,ENSG00000115155,OTOF,otoferlin [Source:HGNC Symbol;Acc:HGNC:8515],CCDS,CCDS1725.1,OTOF
CCDS3022.1,ENSG00000173175,ADCY5,adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236],CCDS,CCDS3022.1,ADCY5
CCDS3386.1,ENSG00000109501,WFS1,wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762],CCDS,CCDS3386.1,WFS1
CCDS4783.1,ENSG00000096433,ITPR3,"inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]",CCDS,CCDS4783.1,ITPR3
CCDS8181.1,ENSG00000162337,LRP5,LDL receptor related protein 5 [Source:HGNC Symbol;Acc:HGNC:6697],CCDS,CCDS8181.1,LRP5
CCDS8384.1,ENSG00000177103,DSCAML1,DS cell adhesion molecule like 1 [Source:HGNC Symbol;Acc:HGNC:14656],CCDS,CCDS8384.1,DSCAML1
CCDS8539.1,ENSG00000110799,VWF,von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726],CCDS,CCDS8539.1,VWF
CCDS8932.1,ENSG00000123384,LRP1,LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692],CCDS,CCDS8932.1,LRP1
CCDS9510.1,ENSG00000185950,IRS2,insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126],CCDS,CCDS9510.1,IRS2
CCDS10248.1,ENSG00000138622,HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4 [Source:HGNC Symbol;Acc:HGNC:16882],CCDS,CCDS10248.1,HCN4
CCDS10466.1,ENSG00000167972,ABCA3,ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33],CCDS,CCDS10466.1,ABCA3
CCDS11727.1,ENSG00000132470,ITGB4,integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158],CCDS,CCDS11727.1,ITGB4
CCDS11801.1,ENSG00000169710,FASN,fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594],CCDS,CCDS11801.1,FASN
CCDS12068.1,ENSG00000115266,APC2,APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036],CCDS,CCDS12068.1,APC2
CCDS12196.1,ENSG00000142449,FBN3,fibrillin 3 [Source:HGNC Symbol;Acc:HGNC:18794],CCDS,CCDS12196.1,FBN3
CCDS12307.1,ENSG00000072071,ADGRL1,adhesion G protein-coupled receptor L1 [Source:HGNC Symbol;Acc:HGNC:20973],CCDS,CCDS12307.1,ADGRL1
CCDS12594.1,ENSG00000105409,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801],CCDS,CCDS12594.1,ATP1A3
CCDS12595.1,ENSG00000105737,GRIK5,glutamate ionotropic receptor kainate type subunit 5 [Source:HGNC Symbol;Acc:HGNC:4583],CCDS,CCDS12595.1,GRIK5
CCDS12719.1,ENSG00000105464,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588],CCDS,CCDS12719.1,GRIN2D
CCDS12799.1,ENSG00000161681,SHANK1,SH3 and multiple ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15474],CCDS,CCDS12799.1,SHANK1
CCDS13410.1,ENSG00000124126,PREX1,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:32594]",CCDS,CCDS13410.1,PREX1
CCDS13517.1,ENSG00000101204,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit [Source:HGNC Symbol;Acc:HGNC:1958],CCDS,CCDS13517.1,CHRNA4
CCDS13710.1,ENSG00000142185,TRPM2,transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339],CCDS,CCDS13710.1,TRPM2
CCDS13927.1,ENSG00000100345,MYH9,myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579],CCDS,CCDS13927.1,MYH9
CCDS14076.1,ENSG00000075275,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850],CCDS,CCDS14076.1,CELSR1
CCDS14118.1,ENSG00000214717,ZBED1,zinc finger BED-type containing 1 [Source:HGNC Symbol;Acc:HGNC:447],CCDS,CCDS14118.1,ZBED1
CCDS14752.1,ENSG00000130827,PLXNA3,plexin A3 [Source:HGNC Symbol;Acc:HGNC:9101],CCDS,CCDS14752.1,PLXNA3
CCDS30625.1,ENSG00000142798,HSPG2,heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273],CCDS,CCDS30625.1,HSPG2
CCDS31013.1,ENSG00000076356,PLXNA2,plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100],CCDS,CCDS31013.1,PLXNA2
CCDS31437.1,ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59],CCDS,CCDS31437.1,ABCC8
CCDS32369.1,ENSG00000008710,PKD1,"polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]",CCDS,CCDS32369.1,PKD1
CCDS32724.1,ENSG00000161509,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587],CCDS,CCDS32724.1,GRIN2C
CCDS32732.1,ENSG00000177728,TMEM94,transmembrane protein 94 [Source:HGNC Symbol;Acc:HGNC:28983],CCDS,CCDS32732.1,TMEM94
CCDS32736.1,ENSG00000132470,ITGB4,integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158],CCDS,CCDS32736.1,RHBDF2
CCDS32743.1,ENSG00000129667,RHBDF2,rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788],CCDS,CCDS32743.1,REXO1
CCDS32866.1,ENSG00000079313,REXO1,RNA exonuclease 1 homolog [Source:HGNC Symbol;Acc:HGNC:24616],CCDS,CCDS32866.1,SIPA1L3
CCDS32928.1,ENSG00000072071,ADGRL1,adhesion G protein-coupled receptor L1 [Source:HGNC Symbol;Acc:HGNC:20973],CCDS,CCDS32928.1,RYR1
CCDS33007.1,ENSG00000105738,SIPA1L3,signal induced proliferation associated 1 like 3 [Source:HGNC Symbol;Acc:HGNC:23801],CCDS,CCDS33007.1,LAMA5
CCDS33011.1,ENSG00000196218,RYR1,ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483],CCDS,CCDS33011.1,ELFN2
CCDS33502.1,ENSG00000130702,LAMA5,laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485],CCDS,CCDS33502.1,PLXND1
CCDS33642.1,ENSG00000166897,ELFN2,extracellular leucine rich repeat and fibronectin type III domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29396],CCDS,CCDS33642.1,CASZ1
CCDS33854.1,ENSG00000004399,PLXND1,plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107],CCDS,CCDS33854.1,DISP3
CCDS41246.1,ENSG00000130940,CASZ1,castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002],CCDS,CCDS41246.1,WDR90
CCDS41247.1,ENSG00000204624,DISP3,dispatched RND transporter family member 3 [Source:HGNC Symbol;Acc:HGNC:29251],CCDS,CCDS41247.1,MYO15A
CCDS42092.1,ENSG00000161996,WDR90,WD repeat domain 90 [Source:HGNC Symbol;Acc:HGNC:26960],CCDS,CCDS42092.1,TRIOBP
CCDS42271.1,ENSG00000091536,MYO15A,myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594],CCDS,CCDS42271.1,PLXNB2
CCDS42563.1,ENSG00000196218,RYR1,ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483],CCDS,CCDS42563.1,FLNC
CCDS43015.1,ENSG00000100106,TRIOBP,TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009],CCDS,CCDS43015.1,PLXNA4
CCDS43035.1,ENSG00000196576,PLXNB2,plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104],CCDS,CCDS43035.1,PLEC
CCDS43644.1,ENSG00000128591,FLNC,filamin C [Source:HGNC Symbol;Acc:HGNC:3756],CCDS,CCDS43644.1,None
CCDS43646.1,ENSG00000221866,PLXNA4,plexin A4 [Source:HGNC Symbol;Acc:HGNC:9102],CCDS,CCDS43646.1,NOTCH1
CCDS43769.1,ENSG00000178209,PLEC,plectin [Source:HGNC Symbol;Acc:HGNC:9069],CCDS,CCDS43769.1,ABCA2
CCDS43770.1,ENSG00000178209,PLEC,plectin [Source:HGNC Symbol;Acc:HGNC:9069],CCDS,CCDS43770.1,KIF26B
