Gene,adatcodoncount,adatcodonfreq,proteinlennucleotides,ADAT_transformed_ordered_pvalues,ADAT_pvalues_raw,chisquareadatenrichedstatus,expected_adat_codons,observed_adat_codons,protein_length_AA,feature
YAL069W,15,0.14285714285714285,315,-0.7722000060117744,0.22779999398822554,nonsignificant,11,15,105,gene
YAL068W-A,9,0.10588235294117647,255,-0.7793286380801567,0.22067136191984324,nonsignificant,6,9,85,gene
YAL068C,31,0.256198347107438,363,-0.9999994033606167,5.96639383307014e-07,enriched,13,31,121,gene
YAL067W-A,6,0.07894736842105263,228,0.0,1.0,nonsignificant,6,6,76,gene
YAL067C,32,0.05387205387205387,1782,0.9713285672932709,0.02867143270672915,nonsignificant,47,32,594,gene
YAL066W,6,0.05825242718446602,309,0.5204998778130466,0.47950012218695337,nonsignificant,8,6,103,gene
YAL065C,18,0.13953488372093023,387,-0.3829249225480261,0.6170750774519739,nonsignificant,16,18,129,gene
YAL064W-B,8,0.06299212598425197,381,0.9292988551340171,0.07070114486598289,nonsignificant,15,8,127,gene
YAL064C-A,8,0.06299212598425197,381,0.6342877037184869,0.36571229628151314,nonsignificant,11,8,127,gene
YAL064W,3,0.031578947368421054,285,0.7793286380801567,0.22067136191984324,nonsignificant,6,3,95,gene
YAL063C-A,6,0.061855670103092786,291,0.6826894921370888,0.31731050786291115,nonsignificant,9,6,97,gene
YAL063C,250,0.1889644746787604,3969,-0.999999991665263,8.334736968558306e-09,enriched,174,250,1323,gene
YAL062W,50,0.1091703056768559,1374,-0.9218309141757169,0.0781690858242831,nonsignificant,39,50,458,gene
YAL061W,33,0.07894736842105263,1254,0.13616825714527359,0.8638317428547264,nonsignificant,34,33,418,gene
YAL060W,39,0.10182767624020887,1149,-0.8492372249733589,0.1507627750266412,nonsignificant,31,39,383,gene
YAL059C-A,25,0.1773049645390071,423,-0.9999756950393052,2.4304960694778984e-05,enriched,11,25,141,gene
YAL059W,16,0.07511737089201878,639,0.1916348440854897,0.8083651559145103,nonsignificant,17,16,213,gene
YAL058W,48,0.09542743538767395,1509,-0.7940967892679354,0.20590321073206466,nonsignificant,40,48,503,gene
YAL056C-A,12,0.10256410256410256,351,-0.23697539944700496,0.763024600552995,nonsignificant,11,12,117,gene
YAL056W,51,0.05788876276958002,2643,0.9493828219476823,0.05061717805231766,nonsignificant,67,51,881,gene
YAL055W,12,0.06629834254143646,543,0.6826894921370888,0.31731050786291115,nonsignificant,16,12,181,gene
YAL054C,90,0.12605042016806722,2142,-0.9993302705509781,0.0006697294490218293,nonsignificant,63,90,714,gene
YAL053W,82,0.10459183673469388,2352,-0.848506007595784,0.151493992404216,nonsignificant,70,82,784,gene
YAL051W,78,0.07442748091603053,3144,0.26111731963647267,0.7388826803635273,nonsignificant,81,78,1048,gene
YAL049C,21,0.08502024291497975,741,-0.17693672624187862,0.8230632737581214,nonsignificant,20,21,247,gene
YAL048C,59,0.0889894419306184,1989,-0.7969082124228357,0.20309178757716426,nonsignificant,50,59,663,gene
YAL047W-A,10,0.09090909090909091,330,-0.26111731963647267,0.7388826803635273,nonsignificant,9,10,110,gene
YAL047C,63,0.10112359550561797,1869,-0.998806254555128,0.0011937454448720044,nonsignificant,42,63,623,gene
YAL046C,10,0.08403361344537816,357,-0.26111731963647267,0.7388826803635273,nonsignificant,9,10,119,gene
YAL045C,15,0.14563106796116504,309,-0.9975030910848585,0.002496908915141551,nonsignificant,7,15,103,gene
YAL044W-A,10,0.09009009009009009,333,-0.7431607420421467,0.2568392579578533,nonsignificant,7,10,111,gene
YAL044C,27,0.15789473684210525,513,-0.9998967825585049,0.00010321744149513965,enriched,13,27,171,gene
YAL043C,99,0.12595419847328243,2358,-0.9999988577527613,1.1422472387229622e-06,enriched,61,99,786,gene
YAL042C-A,22,0.1746031746031746,378,-0.9874450814030334,0.01255491859696653,nonsignificant,13,22,126,gene
YAL042W,49,0.11778846153846154,1248,-0.9994774246048758,0.0005225753951242464,nonsignificant,30,49,416,gene
YAL041W,80,0.0935672514619883,2565,-0.7680022763712693,0.23199772362873072,nonsignificant,70,80,855,gene
YAL040C,69,0.11876075731497418,1743,-0.9927904292352575,0.007209570764742524,nonsignificant,50,69,581,gene
YAL039C,30,0.1111111111111111,810,-0.9883831085658417,0.011616891434158384,nonsignificant,19,30,270,gene
YAL038W,103,0.2055888223552894,1503,-0.999999999999998,2.045317456256335e-15,enriched,48,103,501,gene
YAL037C-B,40,0.12307692307692308,975,-0.9996070069735851,0.00039299302641488125,enriched,23,40,325,gene
YAL037C-A,2,0.06451612903225806,93,0.0,1.0,nonsignificant,2,2,31,gene
YAL037W,32,0.11940298507462686,804,-0.9836226916585051,0.016377308341494895,nonsignificant,21,32,268,gene
YAL036C,48,0.12972972972972974,1110,-0.9953222650189527,0.004677734981047276,nonsignificant,32,48,370,gene
YAL035W,98,0.09770687936191426,3009,-0.9920882113192886,0.00791178868071145,nonsignificant,75,98,1003,gene
YAL034C-B,7,0.059322033898305086,354,0.6572182888520912,0.34278171114790873,nonsignificant,10,7,118,gene
YAL034W-A,24,0.08275862068965517,870,-0.7486508911897807,0.2513491088102194,nonsignificant,19,24,290,gene
YAL034C,34,0.0821256038647343,1242,-0.2763263901682371,0.7236736098317629,nonsignificant,32,34,414,gene
YAL033W,18,0.10344827586206896,522,-0.7149505925973904,0.28504940740260964,nonsignificant,14,18,174,gene
YAL032C,34,0.08947368421052632,1140,-0.409986112836654,0.590013887163346,nonsignificant,31,34,380,gene
YAL031W-A,9,0.08737864077669903,309,-0.2763263901682371,0.7236736098317629,nonsignificant,8,9,103,gene
YAL031C,69,0.09067017082785808,2283,-0.3802036115058671,0.6197963884941329,nonsignificant,65,69,761,gene
YAL030W,19,0.16101694915254236,354,-0.984138667260227,0.015861332739773026,nonsignificant,11,19,118,gene
YAL029C,105,0.07133152173913043,4416,0.43097959964651233,0.5690204003534877,nonsignificant,111,105,1472,gene
