Gene,adatcodoncount,adatcodonfreq,proteinlennucleotides,ADAT_transformed_ordered_pvalues,ADAT_pvalues_raw,ADAT_pvalues_corrected,chisquareadatenrichedstatus,expected_adat_codons,observed_adat_codons,protein_length_AA,feature
2L52.1a,18,0.04205607476635514,1284,0.9909765611819197,0.009023438818080326,178.99795583425941,nonsignificant,33,18,428,gene
2RSSE.1a,42,0.12209302325581395,1032,-0.8828149128018619,0.11718508719813815,2324.6005747494664,nonsignificant,33,42,344,gene
3R5.1a,14,0.06481481481481481,648,0.6542214138488399,0.3457785861511601,6859.209813480563,nonsignificant,18,14,216,gene
4R79.1a,18,0.05217391304347826,1035,0.9167354833364496,0.08326451666355042,1651.7182170548497,nonsignificant,27,18,345,gene
4R79.2a,20,0.050505050505050504,1188,0.9887701133470833,0.011229886652916672,222.76726153390803,nonsignificant,35,20,396,gene
AC3.1a,25,0.0702247191011236,1068,0.9650449273563695,0.03495507264363046,693.4037760316974,nonsignificant,38,25,356,gene
AC3.2,28,0.053231939163498096,1578,0.9987209716723164,0.0012790283276835727,25.372084936259032,nonsignificant,51,28,526,gene
AC3.3,38,0.0892018779342723,1278,-0.7111556336535182,0.2888443663464818,5729.805695215159,nonsignificant,32,38,426,gene
AC3.4,36,0.08450704225352113,1278,-0.6308285836673082,0.3691714163326918,7323.253385791607,nonsignificant,31,36,426,gene
AC3.5a,69,0.06324472960586618,3273,0.9941429009147159,0.005857099085284141,116.18727455478151,nonsignificant,96,69,1091,gene
AC3.6,20,0.06134969325153374,978,0.5857838217574749,0.4142161782425251,8216.80632779697,nonsignificant,24,20,326,gene
AC3.7,33,0.062264150943396226,1590,0.9588593670279738,0.041140632972026185,816.1067362660834,nonsignificant,47,33,530,gene
AC3.8,29,0.05451127819548872,1596,0.9913495941049024,0.008650405895097536,171.59810174104982,nonsignificant,47,29,532,gene
AC3.10,27,0.07670454545454546,1056,0.5275023859993115,0.47249761400068846,9372.935168931657,nonsignificant,31,27,352,gene
AC3.12a,4,0.042105263157894736,285,0.5857838217574749,0.4142161782425251,8216.80632779697,nonsignificant,6,4,95,gene
AC7.1a,25,0.06234413965087282,1203,0.9912880870376204,0.008711912962379598,172.8182174347241,nonsignificant,42,25,401,gene
AC7.2a,53,0.09464285714285714,1680,0.10824414649320568,0.8917558535067943,17689.76086601428,nonsignificant,54,53,560,gene
AC7.3,18,0.0759493670886076,711,0.0,1.0,19837.0,nonsignificant,18,18,237,gene
AC8.3,31,0.08266666666666667,1125,0.0,1.0,19837.0,nonsignificant,31,31,375,gene
AC8.4,16,0.07339449541284404,654,0.1916348440854897,0.8083651559145103,16035.53959787614,nonsignificant,17,16,218,gene
AC8.10,36,0.08,1350,0.0,1.0,19837.0,nonsignificant,36,36,450,gene
AC8.11,16,0.07339449541284404,654,0.1916348440854897,0.8083651559145103,16035.53959787614,nonsignificant,17,16,218,gene
AH6.1,55,0.048330404217926184,3414,0.9999995018648832,4.98135116811381e-07,0.009881506312187364,depleted,107,55,1138,gene
AH6.2,32,0.09696969696969697,990,-0.14253755804075885,0.8574624419592412,17009.482461145468,nonsignificant,31,32,330,gene
AH6.3,9,0.03896103896103896,693,0.9198816862723658,0.08011831372763421,1589.30698941508,nonsignificant,16,9,231,gene
AH6.4,21,0.06325301204819277,996,0.9960522481430966,0.00394775185690346,78.31155358539394,nonsignificant,39,21,332,gene
AH6.5,37,0.07905982905982906,1404,-0.13236766522180732,0.8676323347781927,17211.222624995007,nonsignificant,36,37,468,gene
AH6.6,19,0.05757575757575758,990,0.9851938908726515,0.014806109127348454,293.7087867592113,nonsignificant,33,19,330,gene
AH6.7,26,0.07878787878787878,990,0.8718098256548931,0.12819017434510696,2542.9084884838867,nonsignificant,35,26,330,gene
AH6.8,25,0.07575757575757576,990,0.9332469848303658,0.06675301516963421,1324.1795619200338,nonsignificant,36,25,330,gene
AH6.10,30,0.09090909090909091,990,0.5072833227729123,0.4927166772270877,9774.020726153738,nonsignificant,34,30,330,gene
AH6.11,17,0.051515151515151514,990,0.9984580304310601,0.0015419695689399518,30.588050339061823,nonsignificant,36,17,330,gene
AH6.12,19,0.05757575757575758,990,0.9931591415641711,0.00684085843582897,135.70210879153927,nonsignificant,35,19,330,gene
AH6.14,22,0.06626506024096386,996,0.9720081845143342,0.027991815485665764,555.2736437891517,nonsignificant,35,22,332,gene
AH6.17,5,0.08064516129032258,186,0.31690860169039137,0.6830913983096086,13550.484068267706,nonsignificant,6,5,62,gene
AH9.1,56,0.13592233009708737,1236,-0.8989497440745905,0.10105025592540948,2004.5339267923478,nonsignificant,45,56,412,gene
AH9.2,43,0.14381270903010032,897,-0.9996817828196849,0.000318217180315068,6.312474205910004,nonsignificant,25,43,299,gene
AH9.3,22,0.08627450980392157,765,-0.17274065343728873,0.8272593465627113,16410.343657764504,nonsignificant,21,22,255,gene
AH9.4,33,0.09041095890410959,1095,0.7316183727072424,0.2683816272927576,5323.886340606433,nonsignificant,40,33,365,gene
AH9.6,31,0.10616438356164383,876,-0.4292496119418261,0.5707503880581739,11321.975447909996,nonsignificant,28,31,292,gene
AH10.1,90,0.15873015873015872,1701,-0.9999996271883884,3.728116115860855e-07,0.007395463939033177,enriched,53,90,567,gene
AH10.2,31,0.12601626016260162,738,-0.4292496119418261,0.5707503880581739,11321.975447909996,nonsignificant,28,31,246,gene
AH10.4,2,0.0273972602739726,219,0.8975295651402506,0.10247043485974942,2032.7060163128492,nonsignificant,6,2,73,gene
B0001.1a,35,0.12867647058823528,816,-0.975255327953601,0.02474467204639891,490.8600593844152,nonsignificant,24,35,272,gene
B0001.2,63,0.06796116504854369,2781,0.834143339657094,0.16585666034290605,3290.0985712222273,nonsignificant,75,63,927,gene
B0001.3a,39,0.06587837837837837,1776,0.8802050695740811,0.11979493042591895,2376.372034858954,nonsignificant,50,39,592,gene
B0001.4a,25,0.10040160642570281,747,-0.16174351361417372,0.8382564863858263,16628.493920435634,nonsignificant,24,25,249,gene
B0001.5,59,0.10649819494584838,1662,-0.9447297193237276,0.055270280676272425,1096.396557775216,nonsignificant,46,59,554,gene
B0001.6,71,0.10518518518518519,2025,-0.9363102248633712,0.06368977513662877,1263.4140693853049,nonsignificant,57,71,675,gene
B0001.7a,58,0.07923497267759563,2196,0.6752442345973844,0.3247557654026156,6442.180118291685,nonsignificant,66,58,732,gene
B0001.8a,30,0.06109979633401222,1473,0.8861537019933423,0.11384629800665763,2258.3690135580673,nonsignificant,40,30,491,gene
B0019.1,72,0.0993103448275862,2175,0.0,1.0,19837.0,nonsignificant,72,72,725,gene
B0019.2,52,0.06951871657754011,2244,0.8342133160189458,0.16578668398105428,3288.7104501321737,nonsignificant,63,52,748,gene
B0024.1,25,0.08389261744966443,894,-0.617266911114774,0.38273308888522595,7592.276284216227,nonsignificant,21,25,298,gene
B0024.2,16,0.053691275167785234,894,0.7247664759251689,0.27523352407483115,5459.807417072426,nonsignificant,21,16,298,gene
