Gene,adatcodoncount,adatcodonfreq,proteinlennucleotides,ADAT_transformed_ordered_pvalues,ADAT_pvalues_raw,ADAT_pvalues_corrected,chisquareadatenrichedstatus,expected_adat_codons,observed_adat_codons,protein_length_AA,feature
CCDS14803.1,108,0.16666666666666666,1944,-0.4475470951182221,0.5524529048817779,14569.288007542247,nonsignificant,102,108,648,gene
CCDS14804.1,151,0.07204198473282443,6288,0.9999999999999912,8.823923964262753e-15,2.327045227855373e-10,depleted,281,151,2096,gene
CCDS14805.1,69,0.16428571428571428,1260,-0.5503082020311092,0.4496917979688908,11859.27209603559,nonsignificant,63,69,420,gene
CCDS14806.1,33,0.14285714285714285,693,0.4892022018261035,0.5107977981738965,13470.759533441998,nonsignificant,37,33,231,gene
CCDS14807.1,36,0.15,720,-0.2683994110400988,0.7316005889599012,19293.770732050514,nonsignificant,34,36,240,gene
CCDS14808.1,38,0.07851239669421488,1452,0.9988459499152185,0.0011540500847815342,30.434608835858622,nonsignificant,64,38,484,gene
CCDS14809.1,84,0.2204724409448819,1143,-0.9732843015528205,0.026715698447179477,704.5463994490171,nonsignificant,66,84,381,gene
CCDS14810.1,112,0.10707456978967496,3138,0.990467732447306,0.009532267552693964,251.38495989964522,nonsignificant,143,112,1046,gene
CCDS14811.1,63,0.1721311475409836,1098,-0.980395891429634,0.019604108570366,516.9995512176921,nonsignificant,47,63,366,gene
CCDS14812.1,64,0.13733905579399142,1398,0.7959761295255671,0.20402387047443296,5380.517512151746,nonsignificant,75,64,466,gene
CCDS14813.1,37,0.1778846153846154,624,-0.2646833093626595,0.7353166906373405,19391.771765487945,nonsignificant,35,37,208,gene
CCDS14814.1,90,0.07371007371007371,3663,0.9999999999097813,9.021872818347158e-11,2.3792482996545125e-06,depleted,176,90,1221,gene
CCDS14816.1,45,0.09054325955734406,1491,0.9928059981143128,0.007194001885687237,189.72021772934383,nonsignificant,67,45,497,gene
CCDS14817.1,27,0.07541899441340782,1074,0.9964692380821688,0.0035307619178311742,93.11325329704373,nonsignificant,47,27,358,gene
CCDS14818.1,36,0.10746268656716418,1005,0.8202875051210041,0.17971249487899593,4739.377914948881,nonsignificant,45,36,335,gene
CCDS14819.1,55,0.1252847380410023,1317,0.5576442667048597,0.44235573329514033,11665.80539845944,nonsignificant,61,55,439,gene
CCDS14820.1,110,0.12629161882893225,2613,-0.22819978719547662,0.7718002128045234,20353.91521208089,nonsignificant,107,110,871,gene
CCDS14822.1,48,0.128,1125,0.7667697772178184,0.2332302227821817,6150.747435211696,nonsignificant,57,48,375,gene
CCDS14823.1,36,0.1245674740484429,867,0.7142493696269789,0.2857506303730211,7535.815624197313,nonsignificant,43,36,289,gene
CCDS14824.1,39,0.10427807486631016,1122,0.9455259648938044,0.05447403510619562,1436.5892538205908,nonsignificant,53,39,374,gene
CCDS14825.1,41,0.20297029702970298,606,-0.9553902819750605,0.04460971802493953,1176.4474837537052,nonsignificant,30,41,202,gene
CCDS14827.1,27,0.06398104265402843,1266,0.999953087541789,4.69124582109418e-05,1.2371753479389571,nonsignificant,58,27,422,gene
CCDS14828.1,30,0.11320754716981132,795,0.6826894921370888,0.31731050786291115,8368.112713360693,nonsignificant,36,30,265,gene
CCDS14829.1,34,0.12546125461254612,813,0.5766603584175565,0.4233396415824435,11164.3130278122,nonsignificant,39,34,271,gene
CCDS14830.1,56,0.16374269005847952,1026,-0.5161601486064317,0.48383985139356833,12759.824560951183,nonsignificant,51,56,342,gene
CCDS14832.1,15,0.09316770186335403,483,0.9047071619765434,0.0952928380234566,2513.0627243545973,nonsignificant,23,15,161,gene
CCDS14833.1,104,0.1573373676248109,1983,-0.8881644781626457,0.11183552183735432,2949.326381894708,nonsignificant,89,104,661,gene
CCDS14834.1,37,0.10306406685236769,1077,0.9500500235452538,0.04994997645474623,1317.2807790645675,nonsignificant,51,37,359,gene
CCDS14838.1,76,0.16777041942604856,1359,-0.8275526552835606,0.17244734471643947,4547.781374861942,nonsignificant,65,76,453,gene
CCDS14839.1,81,0.17608695652173914,1380,-0.9664133871031022,0.033586612896897745,885.7461553169874,nonsignificant,64,81,460,gene
CCDS14840.1,79,0.17873303167420815,1326,-0.9691500005631251,0.030849999436874987,813.5761851492672,nonsignificant,62,79,442,gene
CCDS14841.1,473,0.1165024630541872,12180,0.9999999996025598,3.9744021222816766e-10,1.0481293276881237e-05,depleted,630,473,4060,gene
CCDS14842.1,31,0.1949685534591195,477,-0.7698606595565869,0.23013934044341314,6069.234686173691,nonsignificant,25,31,159,gene
CCDS14843.1,129,0.15867158671586715,2439,-0.7327425068456153,0.2672574931543847,7048.114609467433,nonsignificant,117,129,813,gene
CCDS14844.1,88,0.24788732394366197,1065,-0.999996286662103,3.7133378969025538e-06,0.09792814701711415,nonsignificant,54,88,355,gene
CCDS14846.1,74,0.19946091644204852,1113,-0.993504413742821,0.0064955862571790335,171.30160077432546,nonsignificant,54,74,371,gene
CCDS14847.1,28,0.12612612612612611,666,0.28499934531191085,0.7150006546880892,18855.997265434286,nonsignificant,30,28,222,gene
CCDS14848.1,14,0.08383233532934131,501,0.9119184883378098,0.08808151166219025,2322.8856255552814,nonsignificant,22,14,167,gene
CCDS14850.1,69,0.2123076923076923,975,-0.9816003471388073,0.01839965286119271,485.23564525537415,nonsignificant,52,69,325,gene
CCDS14851.1,43,0.09750566893424037,1323,0.9882566176988274,0.011743382301172606,309.69647804652396,nonsignificant,63,43,441,gene
CCDS14852.1,11,0.10476190476190476,315,0.4209002580460812,0.5790997419539188,15272.018394808745,nonsignificant,13,11,105,gene
