Gene,adatcodoncount,adatcodonfreq,proteinlennucleotides,ADAT_transformed_ordered_pvalues,ADAT_pvalues_raw,ADAT_pvalues_corrected,chisquareadatenrichedstatus,expected_adat_codons,observed_adat_codons,protein_length_AA,feature
Nep3,139,0.17662007623888182,2361,-0.9959402174736851,0.004059782526314916,54.717748889672436,nonsignificant,109,139,787,gene
CG9570,44,0.20853080568720378,633,-0.9136521790163372,0.08634782098366274,1163.7959312178064,nonsignificant,34,44,211,gene
Or19b,96,0.24742268041237114,1164,-0.9993149631346208,0.0006850368653792266,9.232926871581215,nonsignificant,68,96,388,gene
CG15322,113,0.1524966261808367,2223,0.9921266982169392,0.007873301783060819,106.11636143209371,nonsignificant,145,113,741,gene
Or19a,96,0.24742268041237114,1164,-0.9993149631346208,0.0006850368653792266,9.232926871581215,nonsignificant,68,96,388,gene
karr,9,0.09183673469387756,294,0.6135237692287675,0.3864762307712325,5208.926638334671,nonsignificant,12,9,98,gene
fd19B,46,0.17624521072796934,783,-0.737668324591646,0.262331675408354,3535.706321153795,nonsignificant,39,46,261,gene
CG17003,49,0.1701388888888889,864,-0.639803866613998,0.360196133386002,4854.723485776534,nonsignificant,43,49,288,gene
CG12655,25,0.16025641025641027,468,-0.32334267828357577,0.6766573217164242,9119.987382093967,nonsignificant,23,25,156,gene
CG33217,31,0.04428571428571428,2100,0.9999999999947997,5.200253931276336e-12,7.008902248574247e-08,depleted,100,31,700,gene
Vps11,52,0.06257521058965103,2493,0.999999999846499,1.5350101103579982e-10,2.06888662674051e-06,depleted,123,52,831,gene
RpL10,18,0.0821917808219178,657,0.9909765611819197,0.009023438818080326,121.61790839008663,nonsignificant,33,18,219,gene
G9a,187,0.11416361416361416,4914,0.9999940248804389,5.975119561140337e-06,0.08053266144504946,nonsignificant,260,187,1638,gene
cin,71,0.11794019933554817,1806,0.9962683733992319,0.0037316266007680794,50.29486332515217,nonsignificant,100,71,602,gene
CG3777,152,0.17272727272727273,2640,0.7829560922430615,0.2170439077569385,2925.317788748017,nonsignificant,168,152,880,gene
CG12470,16,0.08163265306122448,588,0.9842232436110719,0.015776756388928018,212.63912260997182,nonsignificant,29,16,196,gene
Or1a,46,0.11704834605597965,1179,0.8848997841674295,0.11510021583257046,1551.3207089913847,nonsignificant,58,46,393,gene
ac,22,0.10891089108910891,606,0.7431607420421467,0.2568392579578533,3461.6795187559464,nonsignificant,28,22,202,gene
sc,48,0.13872832369942195,1038,0.5857838217574749,0.4142161782425251,5582.805650352753,nonsignificant,54,48,346,gene
l(1)sc,35,0.13565891472868216,774,-0.2722764533304498,0.7277235466695502,9808.257962012198,nonsignificant,33,35,258,gene
ase,59,0.12114989733059549,1461,0.9597613228802409,0.04023867711975919,542.3368902201144,nonsignificant,77,59,487,gene
CG13373,21,0.168,375,-0.9386311708605977,0.0613688291394023,827.1290791408642,nonsignificant,14,21,125,gene
CG32817,20,0.16393442622950818,366,-0.891190569959454,0.10880943004054605,1466.5334980864798,nonsignificant,14,20,122,gene
CG3176,20,0.16393442622950818,366,-0.9477963646586854,0.0522036353413146,703.6005971302382,nonsignificant,13,20,122,gene
CG3156,105,0.15151515151515152,2079,0.7327425068456153,0.2672574931543847,3602.096492734797,nonsignificant,117,105,693,gene
CG17778,19,0.1484375,384,-0.18633628423320814,0.8136637157667919,10966.559561104821,nonsignificant,18,19,128,gene
arg,68,0.19318181818181818,1056,-0.8548796427930672,0.14512035720693284,1955.9321744350407,nonsignificant,57,68,352,gene
CG17896,104,0.19961612284069097,1563,-0.9119184883378098,0.08808151166219025,1187.1626141830002,nonsignificant,88,104,521,gene
CG18273,164,0.11901306240928883,4134,0.9990215588083227,0.0009784411916773207,13.187430381426928,nonsignificant,212,164,1378,gene
Cyp4g1,104,0.1867145421903052,1671,-0.9119184883378098,0.08808151166219025,1187.1626141830002,nonsignificant,88,104,557,gene
Pgcl,51,0.125,1224,0.7995845383071487,0.2004154616928513,2701.1995926962495,nonsignificant,61,51,408,gene
CG32816,36,0.09498680738786279,1137,0.9972496519808941,0.002750348019105857,37.069190601508744,nonsignificant,59,36,379,gene
CG13375,58,0.18892508143322476,921,-0.21073197386571874,0.7892680261342813,10637.754456237843,nonsignificant,56,58,307,gene
CG3038,48,0.13370473537604458,1077,0.5857838217574749,0.4142161782425251,5582.805650352753,nonsignificant,54,48,359,gene
Appl,174,0.19594594594594594,2664,-0.9978198296225959,0.0021801703774041036,29.384336346652507,nonsignificant,138,174,888,gene
CG13369,58,0.1901639344262295,915,0.0,1.0,13478.0,nonsignificant,58,58,305,gene
Hinfp,73,0.15598290598290598,1404,-0.8375868489779952,0.16241315102200482,2189.004449474581,nonsignificant,62,73,468,gene
Mybbp1A,173,0.15255731922398588,3402,-0.4665834865273055,0.5334165134726945,7189.387768584977,nonsignificant,165,173,1134,gene
su(sable),169,0.12745098039215685,3978,0.8341667929463249,0.16583320705367507,2235.0999646694327,nonsignificant,188,169,1326,gene
CG13367,77,0.1882640586797066,1227,-0.7249076233641122,0.2750923766358878,3707.6950522984957,nonsignificant,68,77,409,gene
Roc1a,26,0.1897810218978102,411,-0.94065356120808,0.05934643879191998,799.8713020374976,nonsignificant,18,26,137,gene
CG5254,74,0.24104234527687296,921,-0.999644960619253,0.000355039380746942,4.785220773707284,nonsignificant,49,74,307,gene
CG5273,102,0.2170212765957447,1410,-0.6493124639520164,0.35068753604798364,4726.566610854724,nonsignificant,93,102,470,gene
fz3,113,0.19415807560137457,1746,-0.8405883092016085,0.15941169079839146,2148.55076858072,nonsignificant,99,113,582,gene
CG16989,179,0.1711281070745698,3138,-0.5582436725750806,0.44175632742491944,5953.991781033064,nonsignificant,169,179,1046,gene
CG14635,20,0.16666666666666666,360,0.0,1.0,13478.0,nonsignificant,20,20,120,gene
CG13358,55,0.18211920529801323,906,0.4813949835712745,0.5186050164287255,6989.758411426362,nonsignificant,60,55,302,gene
CG13359,73,0.14777327935222673,1482,0.9619117157937079,0.03808828420629209,513.3538945324048,nonsignificant,93,73,494,gene
Rbf,153,0.18085106382978725,2538,-0.9838430687388187,0.016156931261181322,217.76311953820186,nonsignificant,126,153,846,gene
CG13360,85,0.2014218009478673,1266,-0.9987511690119115,0.0012488309880884258,16.831744057455804,nonsignificant,60,85,422,gene
RpL22,82,0.2733333333333333,900,-0.9650200553645564,0.034979944635443676,471.45969379650984,nonsignificant,65,82,300,gene
CG13361,69,0.1440501043841336,1437,0.739448212191416,0.260551787808584,3511.716996084095,nonsignificant,79,69,479,gene
CG13362,52,0.1609907120743034,969,0.7508152947385063,0.24918470526149378,3358.511457514413,nonsignificant,61,52,323,gene
Hmt4,189,0.1452728670253651,3903,0.9504847314047107,0.0495152685952893,667.3667901273092,nonsignificant,218,189,1301,gene
RpL36,33,0.28448275862068967,348,-0.999593047982555,0.00040695201744495946,5.484899291123163,nonsignificant,18,33,116,gene
CG13364,7,0.1076923076923077,195,0.0,1.0,13478.0,nonsignificant,7,7,65,gene
CG13365,23,0.2,345,-0.9198816862723658,0.08011831372763421,1079.834632421054,nonsignificant,16,23,115,gene
spdi,129,0.13564668769716087,2853,0.9265998643589207,0.0734001356410793,989.2870281704669,nonsignificant,151,129,951,gene
CG14634,16,0.1702127659574468,282,-0.5946194435410576,0.40538055645894244,5463.719139953626,nonsignificant,13,16,94,gene
CG11664,46,0.1803921568627451,765,-0.4629060215573586,0.5370939784426414,7238.9526414499205,nonsignificant,42,46,255,gene
CG11663,37,0.24183006535947713,459,-0.7188019004358239,0.2811980995641761,3789.987985925965,nonsignificant,31,37,153,gene
MED22,25,0.1736111111111111,432,-0.7364475227170304,0.26355247728296954,3552.1602888198636,nonsignificant,20,25,144,gene
CG32815,99,0.2584856396866841,1149,-0.9916672482608198,0.008332751739180256,112.30882794067149,nonsignificant,76,99,383,gene
TRAM,87,0.23577235772357724,1107,-0.999929204713587,7.07952864129601e-05,0.9541788702738762,nonsignificant,57,87,369,gene
mus81,76,0.17798594847775176,1281,-0.8985461873857924,0.10145381261420765,1367.3944864142907,nonsignificant,63,76,427,gene
CG18823,18,0.16822429906542055,321,-0.1916348440854897,0.8083651559145103,10895.14557141577,nonsignificant,17,18,107,gene
CG14631,23,0.17293233082706766,399,-0.8543899046031371,0.1456100953968629,1962.5328657589182,nonsignificant,17,23,133,gene
CG3021,62,0.15897435897435896,1170,-0.20374658526236078,0.7962534147376392,10731.903523833902,nonsignificant,60,62,390,gene
CG14629,67,0.209375,960,-0.9837904585907746,0.016209541409225422,218.47219911354023,nonsignificant,50,67,320,gene
CG14628,24,0.16901408450704225,426,-0.4873092397380765,0.5126907602619235,6910.046066810205,nonsignificant,21,24,142,gene
CG3655,98,0.17375886524822695,1692,-0.9883831085658417,0.011616891434158384,156.5724627495867,nonsignificant,76,98,564,gene
Cdc45,90,0.15625,1728,-0.33377235459038146,0.6662276454096185,8979.416204830839,nonsignificant,86,90,576,gene
CG11638,47,0.1211340206185567,1164,0.32862675945912734,0.6713732405408727,9048.768536009882,nonsignificant,50,47,388,gene
TfIIA,13,0.12037037037037036,324,0.3944233836646538,0.6055766163353462,8161.961634967796,nonsignificant,15,13,108,gene
CG3690,104,0.18604651162790697,1677,-0.6441910586860226,0.35580894131397744,4795.592911029788,nonsignificant,95,104,559,gene
CG3699,63,0.25,756,-0.980395891429634,0.019604108570366,264.22417531139297,nonsignificant,47,63,252,gene
CG3703,107,0.1502808988764045,2136,0.5443349086066561,0.4556650913933439,6141.454101799489,nonsignificant,115,107,712,gene
CG3704,58,0.1514360313315927,1149,-0.1053741904532719,0.8946258095467281,12057.766661070802,nonsignificant,57,58,383,gene
CG3706,81,0.18202247191011237,1335,-0.9841782851764871,0.01582171482351289,213.24507239130673,nonsignificant,62,81,445,gene
CG3708,57,0.15702479338842976,1089,0.0,1.0,13478.0,nonsignificant,57,57,363,gene
CG3713,13,0.15476190476190477,252,-0.22717000731555248,0.7728299926844475,10416.202641400983,nonsignificant,12,13,84,gene
CG32814,19,0.07755102040816327,735,0.9999313546492317,6.86453507683645e-05,0.9252020376560167,nonsignificant,46,19,245,gene
CG11378,64,0.20447284345047922,939,-0.931296425677122,0.06870357432287802,925.9867747237499,nonsignificant,51,64,313,gene
CG11379,50,0.24752475247524752,606,-0.9939300276379767,0.006069972362023284,81.81108749534981,nonsignificant,34,50,202,gene
CG14627,55,0.2029520295202952,813,-0.6876785783237868,0.31232142167621324,4209.468121352002,nonsignificant,48,55,271,gene
CG14626,70,0.20408163265306123,1029,-0.37753934410654577,0.6224606558934542,8389.524720131976,nonsignificant,66,70,343,gene
CG11380,87,0.15263157894736842,1710,-0.25657930230474757,0.7434206976952524,10019.824163536612,nonsignificant,84,87,570,gene
CG14625,121,0.15984147952443858,2271,-0.14546851334526667,0.8545314866547333,11517.375377132495,nonsignificant,119,121,757,gene
CG11381,57,0.13043478260869565,1311,-0.5119259068347521,0.48807409316524786,6578.262627681211,nonsignificant,52,57,437,gene
CG14624,25,0.10822510822510822,693,0.8362656456754118,0.1637343543245882,2206.8116275867997,nonsignificant,33,25,231,gene
CG11382,76,0.15019762845849802,1518,0.0907309547857783,0.9092690452142217,12255.12819139728,nonsignificant,77,76,506,gene
CG32812,44,0.19469026548672566,678,-0.944488901902129,0.05551109809787105,748.1785801631061,nonsignificant,33,44,226,gene
fs(1)N,259,0.12222746578574799,6357,0.9993503799365427,0.0006496200634572417,8.755579215276704,nonsignificant,320,259,2119,gene
Naa30A,53,0.1402116402116402,1134,0.21259350933373067,0.7874064906662693,10612.664681199978,nonsignificant,55,53,378,gene
Tsp2A,52,0.21224489795918366,735,-0.9626270116593486,0.03737298834065144,503.7131368553001,nonsignificant,39,52,245,gene
CG11417,119,0.15414507772020725,2316,-0.9810964569888787,0.01890354301112133,254.7819527038933,nonsignificant,96,119,772,gene
CG14770,17,0.1118421052631579,456,-0.3944233836646538,0.6055766163353462,8161.961634967796,nonsignificant,15,17,152,gene
ssx,47,0.10585585585585586,1332,-0.34892336592216566,0.6510766340778343,8775.21087410105,nonsignificant,44,47,444,gene
AMPKalpha,121,0.20754716981132076,1749,-0.99235920517529,0.007640794824709996,102.98263264744132,nonsignificant,95,121,583,gene
CG32813,103,0.17975567190226877,1719,-0.8294130671285627,0.1705869328714374,2299.170681241233,nonsignificant,90,103,573,gene
Rilpl,83,0.18693693693693694,1332,-0.9636111337992915,0.03638886620070851,490.4491386531493,nonsignificant,66,83,444,gene
Lrpprc2,206,0.19198508853681268,3219,-0.9808900777931556,0.01910992220684442,257.5635315038491,nonsignificant,175,206,1073,gene
CG14785,96,0.20382165605095542,1413,-0.9928963636002579,0.007103636399742147,95.74281139572466,nonsignificant,73,96,471,gene
CG3719,34,0.2111801242236025,483,-0.9281393617741486,0.07186063822585143,968.5376820080255,nonsignificant,25,34,161,gene
